Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=CO
80403,CO,2.82,,08/27/2012,,
80403,CO,3.36,,07/30/2012,,
80403,CO,9.12,,07/23/2012,,
80403,CO,9.84,,07/11/2012,,
80403,CO,5.28,,07/03/2012,,
80403,CO,6.11,,06/28/2012,,
80401,CO,5.28,,08/31/2012,,
80401,CO,5.28,,08/03/2012,,
80401,CO,2.4,,07/23/2012,,
80401,CO,4.8,,06/29/2012,,
80305,CO,5.76,,10/10/2012,,
80305,CO,3.87,,10/01/2012,,
80305,CO,2.4,,09/26/2012,,
80305,CO,3.01,,09/20/2012,,
80305,CO,5.17,,08/28/2012,,
80304,CO,6.72,,09/27/2012,,
80304,CO,9.36,,09/24/2012,,
80303,CO,6.48,,09/13/2012,,
80303,CO,3.12,,07/05/2012,,
80301,CO,6.72,,09/26/2012,,
80260,CO,5.76,,09/07/2012,,
80260,CO,4.32,,08/20/2012,,
80260,CO,5.17,,07/30/2012,,
80249,CO,9.6,,09/28/2012,,
80249,CO,7.92,,09/14/2012,,
80249,CO,2.115,,09/07/2012,,
80249,CO,5.76,,07/12/2012,,
80247,CO,3.6,,10/01/2012,,
80246,CO,4.32,,10/04/2012,,
80241,CO,6.0,,10/11/2012,,
80241,CO,3.84,,09/20/2012,,
80241,CO,5.04,,09/04/2012,,
80241,CO,4.32,,09/04/2012,,
80241,CO,7.2,,08/29/2012,,
80241,CO,10.32,,08/22/2012,,
80239,CO,9.36,,09/26/2012,,
80239,CO,3.36,,08/06/2012,,
80239,CO,5.28,,07/25/2012,,
80239,CO,4.8,,07/16/2012,,
80238,CO,7.2,,10/12/2012,,
80238,CO,6.24,,10/01/2012,,
80238,CO,9.84,,09/21/2012,,
80238,CO,7.68,,09/21/2012,,
80238,CO,8.88,,09/18/2012,,
80238,CO,5.94,,09/05/2012,,
80238,CO,5.52,,09/04/2012,,
80238,CO,3.84,,08/31/2012,,
80238,CO,7.2,,06/28/2012,,
80237,CO,5.64,,09/21/2012,,
80237,CO,5.76,,09/20/2012,,
80237,CO,6.24,,09/13/2012,,
80236,CO,7.2,,08/29/2012,,
80236,CO,9.36,,08/27/2012,,
80236,CO,9.87,,06/28/2012,,
80234,CO,6.72,,09/27/2012,,
80234,CO,6.72,,07/11/2012,,
80233,CO,5.04,,09/17/2012,,
80233,CO,7.2,,09/10/2012,,
80233,CO,3.84,,09/10/2012,,
80233,CO,4.32,,09/05/2012,,
80233,CO,9.36,,08/31/2012,,
80233,CO,3.84,,07/31/2012,,
80232,CO,3.6,,10/12/2012,,
80232,CO,5.52,,08/20/2012,,
80232,CO,4.23,,07/24/2012,,
80231,CO,4.32,,10/02/2012,,
80231,CO,3.36,,07/30/2012,,
80230,CO,3.36,,09/24/2012,,
80230,CO,9.6,,08/02/2012,,
80229,CO,5.76,,09/26/2012,,
80229,CO,4.8,,08/28/2012,,
80229,CO,8.64,,08/22/2012,,
80229,CO,6.24,,08/17/2012,,
80229,CO,4.8,,07/19/2012,,
80228,CO,2.4,,09/28/2012,,
80228,CO,6.96,,09/17/2012,,
80228,CO,6.48,,09/12/2012,,
80228,CO,5.76,,08/31/2012,,
80228,CO,7.2,,08/22/2012,,
80228,CO,6.58,,06/28/2012,,
80227,CO,9.36,,09/26/2012,,
80227,CO,9.36,,09/10/2012,,
80227,CO,9.84,,09/06/2012,,
80227,CO,7.44,,08/01/2012,,
80227,CO,5.04,,07/24/2012,,
80227,CO,2.88,,06/28/2012,,
80226,CO,5.28,,07/25/2012,,
80224,CO,6.665,,07/10/2012,,
80222,CO,7.92,,10/13/2012,,
80222,CO,5.76,,09/11/2012,,
80222,CO,9.6,,07/10/2012,,
80221,CO,6.24,,10/01/2012,,
80221,CO,2.4,,09/13/2012,,
80220,CO,5.28,,09/28/2012,,
80220,CO,2.4,,09/26/2012,,
80220,CO,3.6,,09/20/2012,,
80220,CO,5.28,,08/03/2012,,
80219,CO,2.4,,10/09/2012,,
80219,CO,4.8,,09/05/2012,,
80219,CO,5.76,,07/31/2012,,
80216,CO,3.36,,09/11/2012,,
80215,CO,5.52,,09/26/2012,,
80215,CO,6.24,,09/07/2012,,
80212,CO,5.76,,09/27/2012,,
80212,CO,6.24,,09/04/2012,,
80211,CO,2.4,,10/08/2012,,
80211,CO,2.64,,10/04/2012,,
80211,CO,3.84,,09/27/2012,,
80211,CO,3.6,,09/04/2012,,
80211,CO,4.08,,08/10/2012,,
80210,CO,5.28,,10/03/2012,,
80210,CO,4.32,,10/03/2012,,
80210,CO,2.64,,09/25/2012,,
80210,CO,3.96,,09/12/2012,,
80210,CO,2.4,,09/11/2012,,
80210,CO,9.84,,08/21/2012,,
80210,CO,6.48,,07/30/2012,,
80210,CO,5.28,,07/23/2012,,
80209,CO,3.055,,08/22/2012,,
80207,CO,2.64,,09/10/2012,,
80207,CO,4.56,,08/24/2012,,
80207,CO,3.6,,07/17/2012,,
80206,CO,4.16,,09/10/2012,,
80206,CO,3.3,,08/13/2012,,
80206,CO,4.32,,07/25/2012,,
80205,CO,3.84,,08/21/2012,,
80205,CO,9.84,,08/20/2012,,
80205,CO,2.4,,07/23/2012,,
80204,CO,4.8,,09/24/2012,,
80204,CO,2.64,,09/10/2012,,
80204,CO,3.525,,08/06/2012,,
80203,CO,2.88,,08/27/2012,,
80134,CO,5.28,,09/20/2012,,
80134,CO,9.36,,08/28/2012,,
80130,CO,5.98,,10/05/2012,,
80130,CO,9.36,,09/28/2012,,
80130,CO,5.04,,09/17/2012,,
80130,CO,3.84,,09/06/2012,,
80130,CO,5.28,,08/09/2012,,
80130,CO,6.815,,07/18/2012,,
80129,CO,9.84,,10/14/2012,,
80129,CO,9.36,,10/14/2012,,
80129,CO,9.12,,09/14/2012,,
80129,CO,8.64,,09/11/2012,,
80129,CO,4.8,,09/11/2012,,
80129,CO,3.84,,09/11/2012,,
80129,CO,2.88,,08/30/2012,,
80129,CO,5.28,,08/03/2012,,
80129,CO,9.9,,07/30/2012,,
80129,CO,5.2,,07/26/2012,,
80129,CO,6.24,,07/24/2012,,
80128,CO,5.76,,10/12/2012,,
80128,CO,9.84,,09/28/2012,,
80128,CO,8.64,,09/28/2012,,
80128,CO,5.04,,09/07/2012,,
80128,CO,6.72,,08/29/2012,,
80128,CO,10.56,,08/28/2012,,
80128,CO,3.84,,08/27/2012,,
80128,CO,5.04,,07/10/2012,,
80127,CO,5.28,,09/27/2012,,
80127,CO,6.24,,09/04/2012,,
80127,CO,6.48,,08/28/2012,,
80127,CO,9.84,,08/23/2012,,
80127,CO,5.52,,08/22/2012,,
80127,CO,7.2,,07/11/2012,,
80127,CO,5.04,,07/11/2012,,
80127,CO,3.84,,06/29/2012,,
80126,CO,9.36,,10/11/2012,,
80126,CO,5.04,,10/11/2012,,
80126,CO,9.36,,10/10/2012,,
80126,CO,8.64,,09/20/2012,,
80126,CO,3.44,,09/17/2012,,
80126,CO,4.84,,09/11/2012,,
80126,CO,6.76,,08/07/2012,,
80126,CO,3.84,,07/23/2012,,
80126,CO,9.84,,07/18/2012,,
80126,CO,4.8,,07/18/2012,,
80126,CO,5.76,,07/13/2012,,
80126,CO,3.36,,07/12/2012,,
80126,CO,8.46,,07/06/2012,,
80125,CO,4.32,,09/05/2012,,
80125,CO,6.16,,06/28/2012,,
80124,CO,4.08,,09/26/2012,,
80124,CO,3.01,,09/25/2012,,
80124,CO,3.01,,09/12/2012,,
80124,CO,3.01,,09/05/2012,,
80123,CO,9.36,,10/04/2012,,
80123,CO,4.32,,09/27/2012,,
80123,CO,7.2,,09/13/2012,,
80123,CO,5.28,,08/24/2012,,
80123,CO,3.52,,08/20/2012,,
80123,CO,5.76,,08/09/2012,,
80123,CO,3.12,,08/06/2012,,
80123,CO,6.24,,07/25/2012,,
80122,CO,8.64,,10/12/2012,,
80122,CO,9.36,,10/05/2012,,
80122,CO,7.92,,10/04/2012,,
80122,CO,8.64,,09/27/2012,,
80122,CO,9.12,,07/02/2012,,
80121,CO,6.0,,09/27/2012,,
80121,CO,3.36,,09/25/2012,,
80121,CO,2.88,,08/07/2012,,
80120,CO,8.64,,10/11/2012,,
80120,CO,4.56,,09/18/2012,,
80113,CO,2.88,,09/08/2012,,
80112,CO,7.68,,10/12/2012,,
80112,CO,4.8,,09/19/2012,,
80112,CO,3.12,,08/14/2012,,
80111,CO,9.36,,09/07/2012,,
80111,CO,6.58,,09/05/2012,,
80111,CO,7.92,,07/16/2012,,
80110,CO,5.64,,09/26/2012,,
80110,CO,5.04,,08/30/2012,,
80110,CO,3.12,,08/10/2012,,
80108,CO,9.36,,07/27/2012,,
80104,CO,6.72,,09/20/2012,,
80033,CO,5.28,,10/01/2012,,
80031,CO,3.12,,10/04/2012,,
80031,CO,2.4,,08/30/2012,,
80031,CO,2.88,,08/01/2012,,
80027,CO,4.32,,10/05/2012,,
80027,CO,4.84,,09/11/2012,,
80027,CO,4.08,,09/11/2012,,
80027,CO,3.12,,08/27/2012,,
80027,CO,6.58,,07/25/2012,,
80027,CO,6.72,,07/11/2012,,
80026,CO,9.36,,10/12/2012,,
80026,CO,7.54,,10/05/2012,,
80026,CO,4.32,,10/05/2012,,
80026,CO,5.52,,09/26/2012,,
80026,CO,3.36,,08/31/2012,,
80026,CO,2.88,,08/20/2012,,
80026,CO,2.88,,08/20/2012,,
80026,CO,4.8,,08/01/2012,,
80023,CO,5.76,,08/20/2012,,
80023,CO,5.04,,08/15/2012,,
80022,CO,3.525,,09/05/2012,,
80021,CO,4.8,,10/09/2012,,
80021,CO,3.44,,09/28/2012,,
80021,CO,9.9,,09/26/2012,,
80021,CO,4.08,,09/17/2012,,
80021,CO,8.64,,08/31/2012,,
80021,CO,5.28,,08/27/2012,,
80021,CO,6.72,,07/26/2012,,
80021,CO,5.04,,07/25/2012,,
80021,CO,7.92,,07/11/2012,,
80021,CO,4.08,,07/02/2012,,
80020,CO,6.48,,10/05/2012,,
80020,CO,4.08,,10/02/2012,,
80020,CO,3.84,,09/26/2012,,
80020,CO,3.96,,09/12/2012,,
80020,CO,7.92,,09/10/2012,,
80020,CO,6.16,,09/10/2012,,
80020,CO,3.12,,08/30/2012,,
80020,CO,5.28,,08/28/2012,,
80020,CO,6.72,,08/22/2012,,
80020,CO,6.72,,08/20/2012,,
80020,CO,3.6,,08/02/2012,,
80020,CO,6.0,,07/10/2012,,
80020,CO,4.32,,07/02/2012,,
80020,CO,9.68,,06/29/2012,,
80020,CO,3.29,,06/28/2012,,
80018,CO,4.56,,09/25/2012,,
80018,CO,7.48,,08/22/2012,,
80017,CO,3.84,,09/20/2012,,
80017,CO,5.28,,09/18/2012,,
80017,CO,9.36,,09/11/2012,,
80017,CO,5.76,,08/17/2012,,
80017,CO,8.64,,08/15/2012,,
80017,CO,8.64,,07/27/2012,,
80017,CO,5.04,,07/24/2012,,
80017,CO,6.24,,07/16/2012,,
80016,CO,9.6,,10/12/2012,,
80016,CO,9.6,,10/02/2012,,
80016,CO,5.72,,10/02/2012,,
80016,CO,5.28,,09/27/2012,,
80016,CO,6.24,,09/26/2012,,
80016,CO,9.84,,09/25/2012,,
80016,CO,4.08,,09/24/2012,,
80016,CO,6.24,,09/21/2012,,
80016,CO,5.76,,09/10/2012,,
80016,CO,2.64,,09/10/2012,,
80016,CO,9.36,,09/07/2012,,
80016,CO,6.24,,09/07/2012,,
80016,CO,5.76,,09/04/2012,,
80016,CO,15.84,,08/28/2012,,
80016,CO,6.16,,08/28/2012,,
80016,CO,6.24,,08/23/2012,,
80016,CO,4.8,,08/23/2012,,
80016,CO,6.72,,08/21/2012,,
80016,CO,7.92,,08/16/2012,,
80016,CO,2.64,,08/16/2012,,
80016,CO,7.2,,08/09/2012,,
80016,CO,6.24,,08/09/2012,,
80016,CO,6.0,,08/03/2012,,
80016,CO,9.89,,07/26/2012,,
80016,CO,6.24,,07/25/2012,,
80016,CO,8.88,,07/11/2012,,
80016,CO,4.8,,07/11/2012,,
80016,CO,7.92,,07/06/2012,,
80016,CO,9.9,,07/02/2012,,
80015,CO,4.8,,10/03/2012,,
80014,CO,4.32,,09/18/2012,,
80013,CO,3.6,,10/04/2012,,
80013,CO,6.72,,09/27/2012,,
80013,CO,9.6,,09/25/2012,,
80013,CO,6.48,,09/24/2012,,
80013,CO,6.5,,09/17/2012,,
80013,CO,5.76,,09/12/2012,,
80013,CO,3.6,,09/11/2012,,
80013,CO,6.72,,09/10/2012,,
80013,CO,6.48,,09/04/2012,,
80013,CO,8.4,,08/31/2012,,
80013,CO,5.28,,08/21/2012,,
80013,CO,3.76,,08/16/2012,,
80013,CO,6.72,,08/09/2012,,
80013,CO,9.36,,07/27/2012,,
80013,CO,4.8,,07/25/2012,,
80012,CO,4.16,,10/12/2012,,
80012,CO,2.88,,10/12/2012,,
80012,CO,223.015,,10/08/2012,,
80012,CO,4.94,,10/05/2012,,
80012,CO,5.04,,10/01/2012,,
80012,CO,3.84,,09/29/2012,,
80012,CO,4.8,,08/30/2012,,
80012,CO,3.36,,08/09/2012,,
80012,CO,7.92,,07/24/2012,,
80011,CO,8.64,,10/12/2012,,
80011,CO,5.52,,10/02/2012,,
80011,CO,2.16,,09/14/2012,,
80011,CO,9.36,,07/16/2012,,
80011,CO,7.92,,07/02/2012,,
80010,CO,4.8,,09/17/2012,,
80010,CO,3.12,,08/23/2012,,
80010,CO,7.28,,07/16/2012,,
80007,CO,10.56,,08/20/2012,,
80005,CO,4.8,,10/04/2012,,
80005,CO,6.48,,09/26/2012,,
80005,CO,8.64,,09/18/2012,,
80005,CO,6.24,,09/14/2012,,
80005,CO,5.52,,09/07/2012,,
80005,CO,6.24,,09/04/2012,,
80005,CO,7.92,,08/06/2012,,
80005,CO,6.24,,07/30/2012,,
80005,CO,7.2,,07/24/2012,,
80005,CO,7.8,,07/21/2012,,
80005,CO,4.8,,07/10/2012,,
80005,CO,7.68,,07/06/2012,,
80005,CO,6.72,,07/02/2012,,
80004,CO,5.72,,09/28/2012,,
80004,CO,10.08,,08/17/2012,,
80004,CO,7.2,,08/09/2012,,
80004,CO,9.12,,08/06/2012,,
80004,CO,7.92,,07/27/2012,,
80004,CO,6.24,,07/03/2012,,
80004,CO,5.28,,07/02/2012,,
80003,CO,8.36,,10/04/2012,,
80003,CO,6.72,,09/18/2012,,
80003,CO,3.84,,09/10/2012,,
80003,CO,3.12,,09/05/2012,,
80003,CO,4.8,,08/09/2012,,
80003,CO,5.46,,08/08/2012,,
80003,CO,8.46,,08/06/2012,,
80003,CO,7.2,,07/11/2012,,
80002,CO,6.58,,06/28/2012,,
80002,CO,6.11,,06/28/2012,,
80516,CO,5.56,36558.0,02/01/2009,,
80027,CO,1083.0,,12/31/2009,,
80018,CO,1120.0,7300000.0,05/15/2010,,
80211,CO,2.35,16974.0,10/18/2010,,
80027,CO,2.464,0.0,04/15/2009,,
80401,CO,6.0,44000.0,07/20/2012,,
80234,CO,329.94,,02/13/2012,,
80226,CO,278.005,,01/17/2012,,
80215,CO,6.11,,02/16/2012,,
80130,CO,308.555,,01/03/2012,,
80031,CO,329.94,,01/19/2012,,
80026,CO,403.26,,02/13/2012,,
80003,CO,366.6,,01/17/2012,,
81652,CO,5.64,,01/26/2012,,
81521,CO,5.64,,01/04/2012,,
80651,CO,10.105,,01/11/2011,,
80651,CO,6.93,,07/29/2011,,
80651,CO,6.45,,11/03/2011,,
80651,CO,6.3,,01/04/2011,,
80645,CO,11.28,,07/08/2011,,
80645,CO,6.93,,12/30/2010,,
80634,CO,9.87,,01/07/2011,,
80634,CO,9.03,,08/18/2011,,
80634,CO,8.385,,08/09/2011,,
80634,CO,7.99,,11/28/2011,,
80634,CO,7.74,,02/06/2012,,
80634,CO,7.05,,05/24/2011,,
80634,CO,6.93,,04/26/2011,,
80634,CO,6.58,,03/28/2011,,
80634,CO,6.45,,10/17/2011,,
80634,CO,6.21,,08/17/2011,,
80634,CO,5.64,,03/14/2011,,
80634,CO,4.7,,03/30/2011,,
80634,CO,4.23,,01/23/2012,,
80631,CO,9.675,,01/25/2012,,
80631,CO,9.165,,05/24/2011,,
80631,CO,8.28,,08/25/2011,,
80631,CO,4.725,,11/30/2010,,
80620,CO,5.64,,04/27/2011,,
80620,CO,3.225,,12/30/2011,,
80615,CO,9.45,,04/13/2011,,
80602,CO,8.46,,05/18/2011,,
80602,CO,6.3,,05/02/2011,,
80602,CO,5.64,,01/19/2012,,
80602,CO,5.17,,07/13/2011,,
80602,CO,4.7,,09/29/2011,,
80550,CO,9.4,,02/10/2012,,
80547,CO,7.755,,11/15/2011,,
80546,CO,8.19,,04/26/2011,,
80546,CO,5.17,,04/28/2011,,
80543,CO,9.87,,04/13/2011,,
80543,CO,8.46,,05/02/2011,,
80543,CO,4.3,,08/12/2011,,
80534,CO,5.17,,01/28/2011,,
80534,CO,5.16,,08/30/2011,,
80521,CO,4.2,,02/25/2011,,
80516,CO,9.675,,01/12/2011,,
80516,CO,7.56,,02/04/2011,,
80516,CO,7.56,,02/07/2011,,
80516,CO,5.64,,02/01/2012,,
80516,CO,5.25,,09/07/2010,,
80516,CO,4.14,,07/18/2011,,
80516,CO,3.78,,02/09/2011,,
80516,CO,2.365,,12/03/2010,,
80504,CO,3.01,,10/05/2011,,
80503,CO,8.82,,06/24/2011,,
80503,CO,8.46,,06/30/2011,,
80503,CO,1.88,,12/28/2011,,
80498,CO,6.02,,10/05/2011,,
80465,CO,4.23,,06/30/2011,,
80465,CO,4.23,,09/27/2011,,
80439,CO,9.87,,01/23/2012,,
80439,CO,5.06,,09/30/2011,,
80439,CO,2.585,,07/14/2011,,
80403,CO,15.54,,01/18/2011,,
80403,CO,9.87,,05/26/2011,,
80403,CO,8.82,,09/01/2010,,
80403,CO,8.28,,08/26/2011,,
80403,CO,7.755,,03/01/2011,,
80403,CO,7.755,,05/24/2011,,
80403,CO,7.74,,01/24/2011,,
80403,CO,6.3,,04/08/2011,,
80403,CO,6.11,,12/13/2011,,
80403,CO,5.6,,09/02/2010,,
80403,CO,5.16,,01/06/2012,,
80403,CO,2.585,,02/09/2012,,
80401,CO,9.87,,05/17/2011,,
80401,CO,8.46,,03/08/2011,,
80401,CO,8.19,,12/14/2010,,
80401,CO,8.19,,10/10/2011,,
80401,CO,7.755,,11/01/2011,,
80401,CO,4.7,,01/19/2011,,
80401,CO,4.62,,01/19/2011,,
80401,CO,4.14,,12/22/2011,,
80401,CO,3.99,,09/08/2011,,
80401,CO,2.99,,11/10/2011,,
80305,CO,4.2,,01/05/2011,,
80305,CO,3.225,,02/16/2011,,
80304,CO,5.88,,07/29/2011,,
80304,CO,5.04,,06/30/2011,,
80304,CO,4.23,,05/12/2011,,
80303,CO,8.385,,08/31/2011,,
80303,CO,5.88,,10/26/2010,,
80303,CO,3.76,,11/08/2011,,
80303,CO,3.36,,09/02/2011,,
80303,CO,2.76,,08/11/2011,,
80303,CO,2.585,,12/14/2011,,
80303,CO,2.3,,02/22/2012,,
80302,CO,4.2,,02/07/2011,,
80301,CO,8.385,,08/08/2011,,
80301,CO,4.2,,05/23/2011,,
80301,CO,4.14,,08/17/2011,,
80301,CO,3.055,,03/11/2011,,
80249,CO,9.45,,02/16/2011,,
80249,CO,7.755,,02/16/2012,,
80249,CO,6.93,,08/22/2011,,
80249,CO,4.14,,07/13/2011,,
80249,CO,3.87,,07/25/2011,,
80247,CO,5.98,,10/26/2011,,
80247,CO,5.04,,04/01/2011,,
80246,CO,5.64,,02/11/2011,,
80246,CO,4.62,,11/16/2010,,
80241,CO,6.11,,10/05/2011,,
80241,CO,5.04,,05/20/2011,,
80239,CO,5.64,,08/16/2011,,
80239,CO,5.64,,11/09/2011,,
80238,CO,7.99,,02/17/2012,,
80238,CO,7.755,,11/10/2011,,
80238,CO,7.095,,07/13/2011,,
80238,CO,7.095,,09/14/2011,,
80238,CO,6.93,,05/31/2011,,
80238,CO,6.345,,12/07/2011,,
80238,CO,6.02,,07/27/2011,,
80238,CO,5.67,,04/22/2011,,
80238,CO,5.67,,05/26/2011,,
80238,CO,5.64,,01/28/2011,,
80238,CO,5.16,,04/26/2011,,
80238,CO,4.945,,05/12/2011,,
80238,CO,4.73,,08/15/2011,,
80238,CO,4.7,,10/19/2011,,
80238,CO,4.62,,02/28/2011,,
80238,CO,4.2,,08/31/2010,,
80237,CO,7.755,,07/15/2011,,
80234,CO,6.58,,04/27/2011,,
80234,CO,4.14,,09/02/2011,,
80233,CO,6.02,,10/28/2011,,
80233,CO,3.87,,09/23/2011,,
80233,CO,3.78,,01/24/2011,,
80233,CO,3.225,,10/26/2011,,
80232,CO,7.755,,04/27/2011,,
80230,CO,9.45,,01/28/2011,,
80230,CO,7.56,,05/23/2011,,
80230,CO,5.88,,11/08/2010,,
80230,CO,5.64,,12/30/2011,,
80230,CO,5.16,,09/17/2010,,
80230,CO,5.04,,03/16/2011,,
80230,CO,4.935,,06/30/2011,,
80230,CO,4.7,,08/31/2011,,
80229,CO,7.05,,04/13/2011,,
80229,CO,7.05,,01/17/2012,,
80228,CO,8.46,,02/23/2011,,
80228,CO,7.99,,08/02/2011,,
80228,CO,7.56,,12/13/2010,,
80228,CO,6.58,,02/27/2012,,
80228,CO,4.83,,06/08/2011,,
80228,CO,3.055,,02/14/2012,,
80227,CO,4.23,,03/30/2011,,
80227,CO,4.23,,01/27/2012,,
80227,CO,3.44,,08/15/2011,,
80227,CO,3.36,,02/28/2011,,
80227,CO,3.055,,01/27/2011,,
80227,CO,2.1,,09/12/2011,,
80226,CO,3.99,,06/27/2011,,
80224,CO,5.17,,10/24/2011,,
80224,CO,4.83,,11/08/2010,,
80223,CO,2.52,,04/29/2011,,
80222,CO,6.11,,01/23/2012,,
80222,CO,4.935,,01/11/2012,,
80222,CO,4.7,,05/31/2011,,
80222,CO,3.15,,05/02/2011,,
80221,CO,5.88,,05/02/2011,,
80221,CO,5.52,,09/14/2011,,
80221,CO,1.72,,08/17/2011,,
80220,CO,5.59,,09/06/2011,,
80220,CO,4.7,,05/03/2011,,
80219,CO,4.62,,06/22/2011,,
80219,CO,4.2,,08/12/2011,,
80219,CO,3.055,,02/16/2011,,
80219,CO,3.055,,04/20/2011,,
80215,CO,5.64,,07/11/2011,,
80215,CO,5.64,,08/12/2011,,
80215,CO,3.055,,04/26/2011,,
80214,CO,7.56,,11/18/2010,,
80212,CO,9.4,,02/06/2012,,
80212,CO,4.92,,08/20/2010,,
80212,CO,4.3,,08/12/2011,,
80212,CO,4.23,,02/11/2011,,
80212,CO,2.76,,12/22/2011,,
80211,CO,9.87,,02/23/2011,,
80211,CO,7.77,,07/28/2011,,
80211,CO,4.3,,09/29/2011,,
80211,CO,4.23,,03/02/2011,,
80211,CO,3.29,,02/10/2012,,
80211,CO,3.055,,01/03/2012,,
80210,CO,2.365,,08/24/2011,,
80209,CO,5.64,,11/14/2011,,
80209,CO,2.99,,09/30/2011,,
80207,CO,4.2,,12/28/2010,,
80207,CO,3.68,,01/20/2012,,
80206,CO,7.05,,10/12/2011,,
80205,CO,1.4,,09/21/2011,,
80204,CO,3.225,,09/15/2011,,
80201,CO,10.92,,11/29/2010,,
80201,CO,8.46,,08/22/2011,,
80201,CO,7.095,,08/27/2010,,
80201,CO,6.3,,03/04/2011,,
80201,CO,6.09,,08/18/2010,,
80201,CO,5.805,,09/07/2010,,
80201,CO,5.805,,06/27/2011,,
80201,CO,5.59,,09/29/2010,,
80201,CO,4.2,,01/07/2011,,
80201,CO,3.78,,11/18/2010,,
80201,CO,3.68,,01/25/2012,,
80201,CO,3.29,,09/17/2010,,
80201,CO,2.58,,11/16/2010,,
80201,CO,2.58,,11/16/2010,,
80137,CO,2.76,,10/25/2011,,
80130,CO,7.755,,03/11/2011,,
80130,CO,7.74,,04/15/2011,,
80130,CO,7.095,,01/30/2012,,
80130,CO,6.11,,01/24/2011,,
80130,CO,5.17,,06/01/2011,,
80130,CO,5.16,,11/05/2010,,
80130,CO,4.3,,02/14/2012,,
80130,CO,3.78,,12/17/2010,,
80130,CO,3.76,,05/16/2011,,
80130,CO,3.36,,12/15/2010,,
80129,CO,8.19,,11/09/2010,,
80129,CO,7.755,,05/16/2011,,
80129,CO,7.56,,02/16/2011,,
80129,CO,6.3,,08/23/2011,,
80129,CO,5.88,,08/30/2011,,
80129,CO,5.805,,08/25/2010,,
80129,CO,5.64,,02/07/2011,,
80129,CO,4.7,,07/25/2011,,
80129,CO,3.76,,08/10/2011,,
80129,CO,3.225,,02/23/2012,,
80128,CO,9.87,,03/28/2011,,
80128,CO,7.52,,05/13/2011,,
80128,CO,4.23,,03/02/2012,,
80127,CO,9.87,,08/31/2011,,
80127,CO,8.46,,04/25/2011,,
80127,CO,7.14,,10/29/2010,,
80127,CO,6.88,,06/09/2011,,
80127,CO,6.11,,03/14/2011,,
80127,CO,5.67,,09/20/2011,,
80127,CO,5.16,,02/06/2012,,
80127,CO,5.04,,03/23/2011,,
80127,CO,4.73,,12/13/2011,,
80127,CO,1.935,,01/23/2012,,
80126,CO,9.165,,06/07/2011,,
80126,CO,9.165,,02/27/2012,,
80126,CO,8.4,,08/17/2011,,
80126,CO,7.74,,11/15/2010,,
80126,CO,6.93,,11/23/2010,,
80126,CO,6.93,,09/01/2011,,
80126,CO,6.45,,12/02/2011,,
80126,CO,5.64,,11/10/2011,,
80126,CO,5.16,,09/01/2011,,
80126,CO,4.7,,11/09/2011,,
80126,CO,4.3,,11/11/2010,,
80126,CO,4.23,,04/27/2011,,
80126,CO,4.23,,11/29/2011,,
80126,CO,4.2,,03/24/2011,,
80126,CO,4.14,,08/04/2011,,
80126,CO,3.76,,02/15/2011,,
80126,CO,3.01,,07/27/2011,,
80126,CO,2.52,,12/15/2010,,
80125,CO,9.66,,03/30/2011,,
80125,CO,8.28,,09/30/2011,,
80125,CO,8.19,,06/28/2011,,
80124,CO,6.3,,05/31/2011,,
80124,CO,4.23,,05/18/2011,,
80124,CO,3.225,,12/21/2011,,
80123,CO,4.62,,11/24/2010,,
80123,CO,4.14,,12/30/2010,,
80122,CO,7.77,,03/14/2011,,
80122,CO,7.52,,02/15/2011,,
80122,CO,6.11,,04/04/2011,,
80122,CO,5.06,,10/17/2011,,
80122,CO,4.23,,01/09/2012,,
80122,CO,4.2,,10/12/2011,,
80122,CO,2.795,,12/01/2011,,
80121,CO,9.165,,10/31/2011,,
80121,CO,8.46,,08/31/2011,,
80121,CO,5.64,,01/11/2012,,
80120,CO,7.59,,07/20/2011,,
80120,CO,6.93,,01/24/2011,,
80120,CO,6.51,,11/29/2010,,
80120,CO,6.3,,01/04/2011,,
80120,CO,5.17,,06/22/2011,,
80120,CO,5.04,,02/04/2011,,
80120,CO,4.73,,08/29/2011,,
80120,CO,4.3,,11/22/2010,,
80120,CO,4.14,,08/22/2011,,
80120,CO,3.78,,01/04/2011,,
80113,CO,8.82,,04/07/2011,,
80113,CO,5.88,,02/16/2011,,
80112,CO,6.3,,12/03/2010,,
80112,CO,6.11,,04/26/2011,,
80111,CO,6.93,,10/12/2010,,
80111,CO,5.64,,09/23/2010,,
80111,CO,5.64,,12/01/2011,,
80111,CO,4.41,,08/22/2011,,
80111,CO,3.78,,01/13/2011,,
80111,CO,2.82,,04/20/2011,,
80108,CO,5.64,,03/09/2011,,
80033,CO,10.08,,04/28/2011,,
80033,CO,4.23,,11/22/2011,,
80033,CO,2.53,,09/16/2011,,
80031,CO,11.825,,12/10/2010,,
80031,CO,6.11,,04/12/2011,,
80031,CO,4.2,,09/09/2011,,
80031,CO,3.87,,01/06/2012,,
80030,CO,9.165,,10/04/2011,,
80030,CO,8.385,,10/11/2011,,
80030,CO,8.225,,05/19/2011,,
80030,CO,6.235,,10/14/2010,,
80030,CO,4.7,,02/15/2011,,
80027,CO,7.755,,04/27/2011,,
80027,CO,6.45,,11/11/2011,,
